mtry,min_n,.metric,.estimator,mean,n,std_err,.config
1,4,rmse,standard,110.56975833679626,10,8.017899048300567,Model01
3,4,rmse,standard,106.56020784680355,10,7.559031876155987,Model02
5,4,rmse,standard,106.07794321615793,10,7.952423193573454,Model03
7,4,rmse,standard,105.2645397783078,10,8.07062770131944,Model04
10,4,rmse,standard,105.02494019132666,10,8.186212920485119,Model05
1,13,rmse,standard,110.86641447417992,10,7.963725396784971,Model06
3,13,rmse,standard,105.56991016756503,10,7.446905438024184,Model07
5,13,rmse,standard,104.59102186243746,10,7.608443551106267,Model08
7,13,rmse,standard,103.61274951201652,10,7.622001677171092,Model09
10,13,rmse,standard,103.00974081349808,10,7.900959995625497,Model10
1,22,rmse,standard,111.10325969737424,10,8.02087632627427,Model11
3,22,rmse,standard,105.87910243592219,10,7.21255746122381,Model12
5,22,rmse,standard,104.91024664777298,10,7.395761532887477,Model13
7,22,rmse,standard,103.42633132439644,10,7.283338445376845,Model14
10,22,rmse,standard,103.21694776597522,10,7.528435037067388,Model15
1,31,rmse,standard,111.78433378662258,10,8.050946390081348,Model16
3,31,rmse,standard,106.06103851552683,10,7.444520302184297,Model17
5,31,rmse,standard,104.85370897608227,10,7.284410954150732,Model18
7,31,rmse,standard,104.0583184980031,10,7.225141458115834,Model19
10,31,rmse,standard,103.16337800971611,10,7.267859296138396,Model20
1,40,rmse,standard,113.09959902828419,10,8.370314905834748,Model21
3,40,rmse,standard,106.84651365276794,10,7.440104971840111,Model22
5,40,rmse,standard,105.5173365873482,10,7.514269475465195,Model23
7,40,rmse,standard,104.03369310923401,10,7.509818004441647,Model24
10,40,rmse,standard,103.26323862198744,10,7.424801016768026,Model25
